episode, reward, waiting_time, steps, avg_queue
      1, -807  ,        6.49 ,   200,     6.49
      2, -823  ,        7.185,   200,     7.185
      3, -778  ,        6.035,   200,     6.035
      4, -810  ,        7.005,   200,     7.005
      5, -810  ,        6.165,   200,     6.165
      6, -780  ,        5.615,   200,     5.615
      7, -736  ,        5.74 ,   200,     5.74
      8, -737  ,        5.975,   200,     5.975
      9, -777  ,        7.305,   200,     7.305
     10, -776  ,        7.46 ,   200,     7.46
